CD_CONTA;DS_CONTA;2020;2021;2022;2023;2024
3.01;Receita de Venda de Bens e/ou Serviços;19641764.0000000000;22669705.0000000000;23448771.0000000000;26110517.0000000000;35424174.0000000000
3.02;Custo dos Bens e/ou Serviços Vendidos;-17234816.0000000000;-19130601.0000000000;-18738793.0000000000;-21607123.0000000000;-29041940.0000000000
3.03;Resultado Bruto;2406948.0000000000;3539104.0000000000;4709978.0000000000;4503394.0000000000;6382234.0000000000
3.04;Despesas/Receitas Operacionais;-4088021.0000000000;-2484386.0000000000;-5265566.0000000000;-2980785.0000000000;-2610113.0000000000
3.04.01;Despesas com Vendas;-1002572.0000000000;-1223305.0000000000;-1416049.0000000000;-1569513.0000000000;-1671416.0000000000
3.04.02;Despesas Gerais e Administrativas;-738736.0000000000;-827176.0000000000;-954194.0000000000;-1022541.0000000000;-1074842.0000000000
3.04.03;Perdas pela Não Recuperabilidade de Ativos;-293912.0000000000;70919.0000000000;-84749.0000000000;48999.0000000000;-121576.0000000000
3.04.03.01;Ganhos (perdas) líquidas sobre contas a receber e ativos de contrato;-293912.0000000000;70919.0000000000;;;
3.04.03.01;Reversão (perda) de crédito esperada;;;-84749.0000000000;48999.0000000000;-121576.0000000000
3.04.03.01;Reversão (perda) por redução ao valor recuperável de contas a receber e ativos de contrato;;70919.0000000000;-84749.0000000000;;
3.04.04;Outras Receitas Operacionais;500226.0000000000;365829.0000000000;615190.0000000000;745474.0000000000;1455864.0000000000
3.04.05;Outras Despesas Operacionais;-2565736.0000000000;-876093.0000000000;-3467520.0000000000;-1233185.0000000000;-1174508.0000000000
3.04.05.01;Pesquisa;-155105.0000000000;-233402.0000000000;-566736.0000000000;-452755.0000000000;-298148.0000000000
3.04.05.02;Despesas Operacionais;-2410631.0000000000;-642691.0000000000;-2900784.0000000000;-780430.0000000000;-876360.0000000000
3.04.06;Resultado de Equivalência Patrimonial;12709.0000000000;5440.0000000000;41756.0000000000;49981.0000000000;-23635.0000000000
3.05;Resultado Antes do Resultado Financeiro e dos Tributos;-1681073.0000000000;1054718.0000000000;-555588.0000000000;1522609.0000000000;3772121.0000000000
3.06;Resultado Financeiro;-1631104.0000000000;-933265.0000000000;-507028.0000000000;-963748.0000000000;-663190.0000000000
3.06.01;Receitas Financeiras;-468987.0000000000;397365.0000000000;830794.0000000000;779690.0000000000;1122030.0000000000
3.06.01.01;Variações Monetárias Ativas;-635917.0000000000;-32510.0000000000;211056.0000000000;138972.0000000000;-526858.0000000000
3.06.01.02;Receitas Financeiras;166930.0000000000;429875.0000000000;619738.0000000000;640718.0000000000;1648888.0000000000
3.06.02;Despesas Financeiras;-1162117.0000000000;-1330630.0000000000;-1337822.0000000000;-1743438.0000000000;-1785220.0000000000
3.06.02.01;Variações Monetárias Passivas;225314.0000000000;170151.0000000000;-73250.0000000000;-140944.0000000000;494933.0000000000
3.06.02.02;Despesas Financeiras;-1387431.0000000000;-1500781.0000000000;-1264572.0000000000;-1602494.0000000000;-2280153.0000000000
3.07;Resultado Antes dos Tributos sobre o Lucro;-3312177.0000000000;121453.0000000000;-1062616.0000000000;558861.0000000000;3108931.0000000000
3.08;Imposto de Renda e Contribuição Social sobre o Lucro;-284056.0000000000;-389071.0000000000;15403.0000000000;225494.0000000000;-1185100.0000000000
3.08.01;Corrente;120393.0000000000;-168836.0000000000;-439721.0000000000;-537767.0000000000;-506974.0000000000
3.08.02;Diferido;-404449.0000000000;-220235.0000000000;455124.0000000000;763261.0000000000;-678126.0000000000
3.09;Resultado Líquido das Operações Continuadas;-3596233.0000000000;-267618.0000000000;-1047213.0000000000;784355.0000000000;1923831.0000000000
3.10;Resultado Líquido de Operações Descontinuadas;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
3.10.01;Lucro/Prejuízo Líquido das Operações Descontinuadas;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
3.10.02;Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
3.11;Lucro/Prejuízo Consolidado do Período;-3596233.0000000000;-267618.0000000000;-1047213.0000000000;784355.0000000000;1923831.0000000000
3.11.01;Atribuído a Sócios da Empresa Controladora;-3616014.0000000000;-274819.0000000000;-953656.0000000000;783559.0000000000;1918850.0000000000
3.11.02;Atribuído a Sócios Não Controladores;19781.0000000000;7201.0000000000;-93557.0000000000;796.0000000000;4981.0000000000
3.99;Lucro por Ação - (Reais / Ação);0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
3.99.01;Lucro Básico por Ação;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
3.99.01.01;ON;-4.9119700000;-0.3740400000;-1.2981400000;1.0666000000;2.6120000000
3.99.02;Lucro Diluído por Ação;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
3.99.02.01;ON;-4.9119700000;-0.3740400000;-1.2981400000;1.0666000000;2.6120000000
